timestamp,total_system_cpu_percent,total_system_memory_percent,network_bytes_sent,network_bytes_recv,app_A_cpu_percent,app_A_memory_percent,app_B_cpu_percent,app_B_memory_percent
2025-11-14 01:02:11.536608,7.6,53.4,136400074,1807393783,0.0,0.0,51.2,6.673050235433314
2025-11-14 01:02:13.548929,9.2,53.4,136402362,1807394701,0.0,0.0,34.2,6.668170916833871
2025-11-14 01:02:15.562080,10.2,53.4,136403828,1807395462,0.0,0.0,32.0,6.667749858883666
2025-11-14 01:02:17.572808,8.9,53.5,136406535,1807396069,0.0,0.0,35.7,6.6633163663491475
2025-11-14 01:02:19.583314,14.0,53.4,136408461,1807397615,0.0,0.0,54.3,6.6633906706933015
2025-11-14 01:02:21.593229,8.5,53.3,136409107,1807397810,0.0,0.0,50.7,6.667948003801411
2025-11-14 01:02:23.606072,7.1,53.3,136411554,1807398593,0.0,0.0,38.0,6.66083955487735
2025-11-14 01:02:25.616398,5.8,53.3,136411608,1807398807,0.0,0.0,33.3,6.654350308821239
2025-11-14 01:02:27.629322,9.3,53.4,136412449,1807399095,0.0,0.0,43.4,6.656926192751908
2025-11-14 01:02:29.642066,7.7,53.4,136412449,1807399309,0.0,0.0,60.9,6.660740482418478
2025-11-14 01:02:31.652491,6.4,53.4,136412449,1807399309,0.0,0.0,38.0,6.665347351756021
2025-11-14 01:02:33.665584,10.6,53.5,136431753,1807425440,0.0,0.0,40.3,6.655266729065803
2025-11-14 01:02:35.677789,7.2,53.5,136448346,1807448421,0.0,0.0,38.8,6.652765149479287
2025-11-14 01:02:37.690256,6.4,53.4,136452711,1807455009,0.0,0.0,34.9,6.649371917762923
2025-11-14 01:02:39.702036,10.3,53.4,136459488,1807459689,0.0,0.0,59.4,6.659303931764835
2025-11-14 01:02:41.712654,6.2,53.2,136460528,1807460188,0.0,0.0,38.8,6.574918964920671
2025-11-14 01:02:43.725286,7.2,53.3,136465786,1807468954,0.0,0.0,41.0,6.576553660492059
2025-11-14 01:02:45.737363,6.4,53.3,136465933,1807470391,0.0,0.0,38.0,6.575092341723697
2025-11-14 01:02:47.750323,8.9,53.2,136468133,1807473794,0.0,0.0,61.300000000000004,6.580714703764678
2025-11-14 01:02:49.764364,8.2,53.2,136468781,1807475373,0.0,0.0,39.099999999999994,6.568925081158921
2025-11-14 01:02:51.775523,6.1,53.2,136469482,1807475632,0.0,0.0,33.3,6.569742428944614
2025-11-14 01:02:53.788530,6.7,53.2,136477301,1807483371,0.0,0.0,31.8,6.571030370909948
2025-11-14 01:02:55.800963,9.5,53.2,136478907,1807483996,0.0,0.0,51.2,6.564516356739119
2025-11-14 01:02:57.813626,7.0,53.2,136480612,1807484756,0.0,0.0,38.8,6.573804399758362
2025-11-14 01:02:59.825795,6.5,53.2,136481313,1807485229,0.0,0.0,34.400000000000006,6.5735814867259
2025-11-14 01:03:01.836651,12.8,53.2,136482760,1807485747,0.0,0.0,45.8,6.57246692156359
2025-11-14 01:03:03.848926,9.5,53.2,136484815,1807486651,0.0,0.0,32.6,6.571278052057128
2025-11-14 01:03:05.861281,7.9,53.2,136484962,1807486744,0.0,0.0,52.699999999999996,6.574497906970466
2025-11-14 01:03:07.874030,7.7,53.2,136487348,1807487500,0.0,0.0,34.1,6.57407684902026
2025-11-14 01:03:09.888101,11.1,53.2,136489188,1807488223,0.0,0.0,48.400000000000006,6.564318211821376
2025-11-14 01:03:11.900461,8.1,53.2,136490484,1807488677,0.0,0.0,37.2,6.580789008108833
2025-11-14 01:03:13.913002,7.8,53.2,136492275,1807489412,0.0,0.0,42.7,6.573333805578721
2025-11-14 01:03:15.925531,14.3,53.5,136523031,1807595825,0.0,0.0,153.6,6.807144808516466
2025-11-14 01:03:17.938960,5.8,53.4,136524611,1807596432,0.0,0.0,34.1,6.773905998564935
2025-11-14 01:03:19.952224,8.4,53.5,136617762,1826027932,0.0,0.0,51.599999999999994,6.818216155795404
2025-11-14 01:03:21.962965,8.4,53.6,136659810,1834236926,0.0,0.0,48.9,6.721967262001328
2025-11-14 01:03:23.972963,5.4,53.6,136660459,1834237335,0.0,0.0,29.5,6.74549697098341
2025-11-14 01:03:25.985927,7.8,53.5,136662275,1834238028,0.0,0.0,38.0,6.745596043442283
2025-11-14 01:03:27.997750,6.3,53.5,136664507,1834238894,0.0,0.0,36.4,6.745323594180385
2025-11-14 01:03:30.010587,7.5,53.5,136674299,1834254154,0.0,0.0,49.99999999999999,6.70428282809269
2025-11-14 01:03:32.021783,6.9,53.5,136675198,1834259270,0.0,0.0,36.5,6.736431840996629
2025-11-14 01:03:34.033423,6.5,53.5,136679910,1834261377,0.0,0.0,31.9,6.73667952214381
2025-11-14 01:03:36.042952,9.4,53.5,136683201,1834268669,0.0,0.0,46.099999999999994,6.7341036382131385
2025-11-14 01:03:38.055487,9.5,53.5,136684703,1834269406,0.0,0.0,37.3,6.736976739520425
2025-11-14 01:03:40.065775,8.7,53.4,136686404,1834270399,0.0,0.0,55.1,6.776506650610323
